epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,742.298,0.71678,0.60594,1.1737,0.89463,0.89474,0.94442,0.81326,0.59646,0.55659,1.15178,0.000721645,0.000721645,0.000721645
102,749.434,0.73409,0.60559,1.18526,0.90786,0.9172,0.95625,0.81019,0.6067,0.4664,1.15085,0.000714571,0.000714571,0.000714571
103,756.87,0.72389,0.59668,1.18224,0.93568,0.94536,0.9733,0.83161,0.59915,0.39796,1.16079,0.000707498,0.000707498,0.000707498
104,764.073,0.73305,0.58215,1.18137,0.9042,0.91849,0.95612,0.77812,0.67505,0.47252,1.22258,0.000700424,0.000700424,0.000700424
105,771.372,0.72401,0.59087,1.17706,0.93793,0.93511,0.95798,0.80814,0.60397,0.44005,1.15311,0.000693351,0.000693351,0.000693351
106,778.717,0.71166,0.57418,1.17992,0.92372,0.92481,0.96285,0.81558,0.61918,0.44665,1.18241,0.000686277,0.000686277,0.000686277
107,785.919,0.7064,0.56875,1.16309,0.93529,0.93983,0.97049,0.82164,0.61645,0.42804,1.16551,0.000679204,0.000679204,0.000679204
108,793.192,0.70893,0.5783,1.17794,0.86032,0.93808,0.95938,0.80657,0.60882,0.48896,1.1507,0.00067213,0.00067213,0.00067213
109,800.3,0.73377,0.59089,1.18724,0.85821,0.90928,0.95124,0.79328,0.61708,0.54733,1.17945,0.000665057,0.000665057,0.000665057
110,807.559,0.70824,0.57355,1.16638,0.78097,0.9073,0.9089,0.75154,0.66034,0.70425,1.22116,0.000657983,0.000657983,0.000657983
111,814.641,0.70841,0.58076,1.17178,0.90609,0.91294,0.94574,0.78724,0.65427,0.50646,1.20053,0.000650909,0.000650909,0.000650909
112,822.112,0.69564,0.56178,1.16513,0.92737,0.92156,0.96598,0.81414,0.6173,0.44282,1.17717,0.000643836,0.000643836,0.000643836
113,829.356,0.719,0.59794,1.17432,0.94536,0.93772,0.97214,0.81326,0.61544,0.39563,1.19205,0.000636762,0.000636762,0.000636762
114,836.619,0.70991,0.59495,1.16722,0.93791,0.92141,0.97441,0.82415,0.60493,0.41438,1.17499,0.000629689,0.000629689,0.000629689
115,843.963,0.70983,0.56671,1.1656,0.90918,0.94149,0.95687,0.78795,0.64211,0.44754,1.20416,0.000622615,0.000622615,0.000622615
116,851.027,0.69355,0.57591,1.15798,0.9572,0.94615,0.96991,0.82196,0.59897,0.40429,1.18327,0.000615542,0.000615542,0.000615542
117,858.243,0.6922,0.56329,1.15952,0.89862,0.92189,0.94513,0.79849,0.61947,0.50203,1.18422,0.000608468,0.000608468,0.000608468
118,865.681,0.67779,0.53922,1.14845,0.90985,0.93858,0.96556,0.81682,0.61184,0.43608,1.18099,0.000601395,0.000601395,0.000601395
119,872.937,0.69308,0.55621,1.16488,0.95734,0.94142,0.97177,0.81073,0.62385,0.40802,1.19137,0.000594321,0.000594321,0.000594321
120,880.164,0.70952,0.58608,1.18126,0.92864,0.935,0.96124,0.81091,0.61157,0.44353,1.16713,0.000587248,0.000587248,0.000587248
