epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,739.666,0.99106,1.13545,1.57486,0.70921,0.76855,0.77882,0.5629,0.93566,0.91433,1.59243,0.0088714,0.0088714,0.0088714
59,751.836,0.9839,1.10821,1.56391,0.70702,0.77502,0.80661,0.61029,0.8189,0.88047,1.45075,0.0088516,0.0088516,0.0088516
60,764.041,0.98617,1.09084,1.56554,0.61634,0.53692,0.62169,0.40509,1.27045,1.6786,2.04628,0.0088318,0.0088318,0.0088318
61,776.182,0.98608,1.08694,1.56284,0.70493,0.81226,0.80986,0.58874,0.96256,0.91026,1.70164,0.008812,0.008812,0.008812
62,788.402,0.9869,1.07683,1.56958,0.76895,0.8455,0.86561,0.66755,0.78068,0.74406,1.42954,0.0087922,0.0087922,0.0087922
63,800.676,0.96856,1.07513,1.55514,0.58422,0.80769,0.70746,0.47257,1.13887,1.2431,1.9033,0.0087724,0.0087724,0.0087724
64,812.844,0.96664,1.04149,1.53579,0.77399,0.87694,0.87419,0.6715,0.79688,0.74255,1.46483,0.0087526,0.0087526,0.0087526
65,825.005,0.99155,1.06235,1.56587,0.87386,0.83257,0.90913,0.74092,0.70321,0.66526,1.35179,0.0087328,0.0087328,0.0087328
66,837.211,0.96373,1.06371,1.5441,0.63121,0.63733,0.68976,0.44334,1.14968,1.25669,1.88633,0.008713,0.008713,0.008713
67,849.435,0.96077,1.0439,1.54468,0.77529,0.88463,0.88094,0.69485,0.76629,0.71296,1.39505,0.0086932,0.0086932,0.0086932
68,861.555,0.95265,1.03804,1.5388,0.69383,0.8267,0.85602,0.68417,0.73725,0.97557,1.38148,0.0086734,0.0086734,0.0086734
69,873.905,0.96868,1.04907,1.54854,0.71657,0.80864,0.81918,0.65596,0.76015,0.8772,1.37737,0.0086536,0.0086536,0.0086536
70,885.998,0.95372,1.04225,1.54425,0.76206,0.83477,0.84559,0.65016,0.80756,0.76356,1.47256,0.0086338,0.0086338,0.0086338
71,898.132,0.99168,1.05533,1.57115,0.70872,0.80123,0.83262,0.59636,0.95133,0.86753,1.64206,0.008614,0.008614,0.008614
72,910.347,0.96154,1.0431,1.55766,0.85086,0.88653,0.92927,0.74703,0.72355,0.60855,1.35162,0.0085942,0.0085942,0.0085942
73,922.512,0.95456,1.02588,1.53626,0.74587,0.79479,0.83279,0.6357,0.83279,0.85857,1.54713,0.0085744,0.0085744,0.0085744
74,934.713,0.9546,0.99626,1.5314,0.61209,0.72138,0.68469,0.46207,1.05727,1.23001,1.77135,0.0085546,0.0085546,0.0085546
